country_code,indicator,year,weeknum,last_year,country,continent,population,weekly_count,year_week,cumulative_count,source,rate_14_day,log_scale
GRL,cases,2021,52,True,Greenland,America,56772,93.0,2021-52,2930.0,Epidemic intelligence national data,1692.73585570352,3.2285891935723563
GRL,deaths,2021,52,True,Greenland,America,56772,0.0,2021-52,1.0,Epidemic intelligence national data,17.61431691679,1.2458658059038106
GTM,cases,2021,52,True,Guatemala,America,17915567,1558.0,2021-52,628804.0,Epidemic intelligence national data,27.9589253301333,1.446520474220901
GTM,deaths,2021,52,True,Guatemala,America,17915567,29.0,2021-52,16110.0,Epidemic intelligence national data,1.84197351945378,0.265283382409274
GUM,cases,2021,52,True,Guam,Oceania,168783,65.0,2021-52,19689.0,Epidemic intelligence national data,177.150542412447,2.2483424864257415
GUM,deaths,2021,52,True,Guam,Oceania,168783,1.0,2021-52,273.0,Epidemic intelligence national data,17.7743019142923,1.2497925528209732
GUY,cases,2021,52,True,Guyana,America,786559,302.0,2021-52,39779.0,Epidemic intelligence national data,115.566664420597,2.0628325784961024
GUY,deaths,2021,52,True,Guyana,America,786559,7.0,2021-52,1054.0,Epidemic intelligence national data,30.5126506721047,1.4844799369857395
HND,cases,2021,52,True,Honduras,America,9904608,243.0,2021-52,379276.0,Epidemic intelligence national data,4.76545866328077,0.6781047067257785
HND,deaths,2021,52,True,Honduras,America,9904608,7.0,2021-52,10432.0,Epidemic intelligence national data,0.403852429091591,-0.3937773005803465
HRV,cases,2021,52,True,Croatia,Europe,4058165,23162.0,2021-52,722054.0,Epidemic intelligence national data,1141.50114645412,3.057476352005359
HRV,deaths,2021,52,True,Croatia,Europe,4058165,305.0,2021-52,12653.0,Epidemic intelligence national data,150.314243013776,2.1770001340747216
HTI,cases,2021,52,True,Haiti,America,11402533,123.0,2021-52,25974.0,Epidemic intelligence national data,0.499888928188149,-0.3011264821312685
HTI,deaths,2021,52,True,Haiti,America,11402533,4.0,2021-52,766.0,Epidemic intelligence national data,0.0876998119628332,-1.0570013378037597
HUN,cases,2021,52,True,Hungary,Europe,9769526,16961.0,2021-52,1262361.0,TESSy COVID-19,346.792669367992,2.5400699086234395
HUN,deaths,2021,52,True,Hungary,Europe,9769526,582.0,2021-52,38276.0,TESSy COVID-19,143.814551494105,2.157802831205868
IDN,cases,2021,52,True,Indonesia,Asia,273523621,1401.0,2021-52,4263168.0,Epidemic intelligence national data,0.959332137534111,-0.018031006463058757
IDN,deaths,2021,52,True,Indonesia,Asia,273523621,66.0,2021-52,144097.0,Epidemic intelligence national data,0.34731918089078,-0.45927123187783303
IMN,cases,2021,52,True,Isle Of Man,Europe,85032,515.0,2021-52,16594.0,Epidemic intelligence national data,4112.56938564305,3.614113238264461
IMN,deaths,2021,52,True,Isle Of Man,Europe,85032,0.0,2021-52,67.0,Epidemic intelligence national data,0.0,-inf
IND,cases,2021,52,True,India,Asia,1380004385,48978.0,2021-52,34922882.0,Epidemic intelligence national data,12.7567710591007,1.1057407614796906
IND,deaths,2021,52,True,India,Asia,1380004385,1918.0,2021-52,481893.0,Epidemic intelligence national data,3.14419290776384,0.4975091837437163
IRL,cases,2021,52,True,Ireland,Europe,4964440,74882.0,2021-52,772490.0,TESSy COVID-19,2238.33906744769,3.3499258748499416
IRL,deaths,2021,52,True,Ireland,Europe,4964440,38.0,2021-52,5911.0,Epidemic intelligence national data,15.3088767313131,1.1849433260810893
IRN,cases,2021,52,True,Iran,Asia,83992953,16166.0,2021-52,6196913.0,Epidemic intelligence national data,30.8763998332098,1.4896266561805127
IRN,deaths,2021,52,True,Iran,Asia,83992953,361.0,2021-52,131680.0,Epidemic intelligence national data,7.10773914568762,0.8517314808007862
IRQ,cases,2021,52,True,Iraq,Asia,40222503,2643.0,2021-52,2094349.0,Epidemic intelligence national data,9.61899362652792,0.983129636974572
IRQ,deaths,2021,52,True,Iraq,Asia,40222503,85.0,2021-52,24174.0,Epidemic intelligence national data,2.75964924410597,0.44085388603998477
ISL,cases,2021,52,True,Iceland,Europe,364134,6853.0,2021-52,31059.0,TESSy COVID-19,2793.47712655231,3.446145119636479
ISL,deaths,2021,52,True,Iceland,Europe,364134,1.0,2021-52,38.0,TESSy COVID-19,2.7462417681403,0.4387387681328083
ISR,cases,2021,52,True,Israel,Asia,8655541,5725.0,2021-52,1399630.0,Epidemic intelligence national data,501.747955442647,2.700485611469866
ISR,deaths,2021,52,True,Israel,Asia,8655541,16.0,2021-52,8244.0,Epidemic intelligence national data,1.3863951427184,0.14188702814333085
ITA,cases,2021,52,True,Italy,Europe,59641488,478107.0,2021-52,6188236.0,TESSy COVID-19,1269.58603044914,3.103662135129723
